date,slot,event,reason,holding_bars,pnl_since_entry,entry_z,exit_z,capital_frac
2021-07-14 16:15:00+00:00,0,exit,z_decay,109,0.010118850566979087,-1.751507927779265,-0.2960829192370878,
2021-07-14 16:30:00+00:00,1,exit,z_decay,95,0.012565660157370501,-1.8829803596746582,-0.23748272222631975,
2021-08-12 19:45:00+00:00,0,entry,signal_entry,0,0.0,-1.7871873774964562,,0.5256
2021-08-16 17:30:00+00:00,1,entry,signal_entry,0,0.0,-1.8540120223391496,,0.474
2021-09-02 13:30:00+00:00,1,exit,z_decay,335,0.009068363162914983,-1.8540120223391496,0.18566142493571208,
2021-09-02 13:45:00+00:00,0,exit,z_decay,381,0.0027129324951523223,-1.7871873774964562,0.09723113269780063,
2021-09-07 17:15:00+00:00,0,entry,signal_entry,0,0.0,-2.173904520939187,,0.6394
2021-09-08 14:00:00+00:00,1,entry,signal_entry,0,0.0,-1.7696569133374984,,0.3586
2021-09-10 19:45:00+00:00,0,halt_rehedge,asset_halted,91,-0.006261203149229607,-2.173904520939187,,
2021-09-10 20:00:00+00:00,0,exit,z_decay,92,-0.006403106659613118,-2.173904520939187,0.012279051463825593,
2021-09-14 17:30:00+00:00,0,entry,signal_entry,0,0.0,2.550437722086907,,0.445
2021-09-15 13:45:00+00:00,1,exit,z_decay,134,0.0052151292804133945,-1.7696569133374984,-0.055418444141410395,
2021-09-15 14:00:00+00:00,0,exit,z_decay,13,0.005636987791754066,2.550437722086907,0.1138080692433967,
2021-09-16 17:00:00+00:00,0,entry,signal_entry,0,0.0,-2.435112852699122,,0.7162
2021-09-16 19:45:00+00:00,1,entry,signal_entry,0,0.0,-2.0868609571191974,,0.2813
2021-10-12 16:15:00+00:00,0,exit,z_decay,483,-0.006895586530436128,-2.435112852699122,-0.2428750880717927,
2021-10-12 16:30:00+00:00,1,exit,z_decay,473,-0.01024379219184093,-2.0868609571191974,-0.2760772438886123,
2021-10-12 16:30:00+00:00,0,entry,signal_entry,0,0.0,-1.7381804768922975,,0.5112
2021-10-14 15:00:00+00:00,0,exit,z_decay,48,0.008173011202614745,-1.7381804768922975,-0.22879210569518063,
2021-11-29 15:00:00+00:00,0,entry,signal_entry,0,0.0,-1.7019447904786038,,0.5006
2021-11-30 18:45:00+00:00,1,entry,signal_entry,0,0.0,-2.183893339555326,,0.4583
2021-12-02 16:45:00+00:00,1,exit,z_decay,46,0.016893440242523514,-2.183893339555326,-0.2850206144170475,
2021-12-02 17:00:00+00:00,0,exit,z_decay,89,0.011979564901353143,-1.7019447904786038,-0.053110772335835145,
2021-12-07 20:15:00+00:00,0,entry,signal_entry,0,0.0,2.0318417675523675,,0.5976
2021-12-10 14:45:00+00:00,0,exit,z_decay,59,0.013008019588358422,2.0318417675523675,0.1728615195635994,
2021-12-20 17:45:00+00:00,0,entry,signal_entry,0,0.0,-2.322506752933529,,0.6831
2021-12-20 20:15:00+00:00,1,entry,signal_entry,0,0.0,-1.7382064902734793,,0.3186
2021-12-21 17:45:00+00:00,0,exit,z_decay,27,0.02872338336678432,-2.322506752933529,-0.2817393818371925,
2021-12-21 17:45:00+00:00,1,exit,z_decay,17,0.010728836735985804,-1.7382064902734793,-0.16642795977983652,
2022-01-06 14:30:00+00:00,0,entry,signal_entry,0,0.0,2.155013715090808,,0.6338
2022-01-07 16:30:00+00:00,1,entry,signal_entry,0,0.0,2.098136020303827,,0.2913
2022-01-14 14:30:00+00:00,0,exit,z_decay,162,0.011741937860398436,2.155013715090808,-0.13091085235857614,
2022-01-14 14:30:00+00:00,1,exit,z_decay,127,0.006184685091449698,2.098136020303827,-0.2403563929443685,
2022-01-14 19:30:00+00:00,0,entry,signal_entry,0,0.0,-3.4666819376059848,,1.0
2022-01-20 19:00:00+00:00,0,exit,z_decay,79,0.034309772702061994,-3.4666819376059848,-0.26272832349923475,
2022-02-09 17:30:00+00:00,0,entry,signal_entry,0,0.0,1.7416641845441054,,0.5123
2022-02-09 17:45:00+00:00,1,entry,signal_entry,0,0.0,1.7147816868966455,,0.4779
2022-02-14 14:30:00+00:00,1,exit,z_decay,68,0.01350063087767127,1.7147816868966455,0.2816489859762522,
2022-02-14 14:45:00+00:00,0,exit,z_decay,70,0.018462823760221386,1.7416641845441054,0.16238324494757556,
2022-02-24 18:45:00+00:00,0,entry,signal_entry,0,0.0,-2.9023520559748452,,0.8536
2022-03-07 19:45:00+00:00,1,entry,signal_entry,0,0.0,2.627836988606136,,0.1405
2022-03-09 15:15:00+00:00,1,exit,z_decay,11,0.0001480032219704807,2.627836988606136,0.29412211998528087,
2022-03-16 18:30:00+00:00,1,entry,signal_entry,0,0.0,-1.7902230981075336,,0.1405
2022-03-16 18:45:00+00:00,0,exit,z_decay,357,-0.02117309067149573,-2.9023520559748452,-0.269218530046757,
2022-03-30 13:45:00+00:00,1,exit,z_decay,251,0.0026688133501806474,-1.7902230981075336,-0.23939987833790632,
2022-03-30 18:45:00+00:00,0,entry,signal_entry,0,0.0,-2.900143617806705,,0.853
2022-03-31 13:30:00+00:00,0,halt_rehedge,asset_halted,6,0.0011994487853458661,-2.900143617806705,,
2022-03-31 18:45:00+00:00,1,entry,signal_entry,0,0.0,-2.4859616931094677,,0.3175
2022-04-05 13:30:00+00:00,1,exit,z_decay,60,0.004719923883807856,-2.4859616931094677,-0.1751377040515474,
2022-04-05 13:45:00+00:00,0,exit,z_decay,88,-0.010039940978719386,-2.900143617806705,-0.051179096137436236,
2022-04-06 18:45:00+00:00,0,entry,signal_entry,0,0.0,-1.787218251944003,,0.5257
2022-04-07 18:45:00+00:00,1,entry,signal_entry,0,0.0,-2.0358553758519515,,0.4544
2022-04-22 19:45:00+00:00,0,exit,z_decay,301,0.006693545755689369,-1.787218251944003,0.15174278289029952,
2022-04-22 19:45:00+00:00,1,exit,z_decay,274,0.009177770235347004,-2.0358553758519515,0.20970241871646877,
2022-04-26 17:45:00+00:00,0,entry,signal_entry,0,0.0,-1.7345785803031983,,0.5102
2022-05-02 14:30:00+00:00,1,entry,signal_entry,0,0.0,-1.948405411611378,,0.4891
2022-05-09 18:45:00+00:00,1,exit,z_decay,152,0.003895516071280603,-1.948405411611378,-0.28572030699620043,
2022-05-09 19:00:00+00:00,0,exit,z_decay,248,0.00041102964914735743,-1.7345785803031983,-0.22419521999764935,
2022-05-12 15:15:00+00:00,0,entry,signal_entry,0,0.0,-1.726752479044361,,0.5079
2022-05-17 15:30:00+00:00,0,exit,z_decay,82,0.01340171333893374,-1.726752479044361,-0.2916294511738548,
2022-05-17 16:15:00+00:00,0,entry,signal_entry,0,0.0,1.7112338979326231,,0.5033
2022-05-17 17:45:00+00:00,0,halt_rehedge,asset_halted,6,0.00018473520798113795,1.7112338979326231,,
2022-05-18 13:30:00+00:00,1,entry,signal_entry,0,0.0,1.7810889683328797,,0.4996
2022-06-09 15:00:00+00:00,0,halt_rehedge,asset_halted,427,-0.014401450280191758,1.7112338979326231,,
2022-06-09 15:00:00+00:00,1,halt_rehedge,asset_halted,411,-0.01454086358893227,1.7810889683328797,,
2022-06-17 16:00:00+00:00,0,exit,z_decay,593,0.017151320497662798,1.7112338979326231,0.2516210483091068,
2022-06-17 16:00:00+00:00,1,exit,z_decay,577,0.016792266130528907,1.7810889683328797,0.17422541799983626,
2022-06-27 14:00:00+00:00,0,entry,signal_entry,0,0.0,2.224059497955144,,0.6541
2022-06-28 13:45:00+00:00,0,exit,z_decay,26,0.009862981980180659,2.224059497955144,0.1858231786730441,
2022-06-29 18:30:00+00:00,0,entry,signal_entry,0,0.0,1.8450401484859258,,0.5427
